Model,Scale Method,Data Split,City,MSE,R2,MAE,MAPE
Linear Regression,default,0.2,Delhi,0.0085595200054501,0.7193220686607968,0.0776671113119799,36.93015649142374
Linear Regression,standard,0.2,Delhi,0.2954035961330422,0.7193220686607973,0.4562683414838349,151.121754308813
Linear Regression,minmax,0.2,Delhi,0.0100110143121241,0.7193220686607972,0.0839946235754159,inf
Linear Regression,maxabs,0.2,Delhi,0.0085595200054501,0.7193220686607968,0.0776671113119799,36.93015649142374
Linear Regression,robust,0.2,Delhi,0.1165076953449188,0.7193220686607976,0.2865429665297566,141.16975718407903
Linear Regression,default,0.2,Gurugram,0.0183769351556029,-0.0519647992035376,0.1076857324038933,17.131436683040448
Linear Regression,standard,0.2,Gurugram,0.9284993996577352,-0.0519647992035381,0.7654422643157884,2234.179036684465
Linear Regression,minmax,0.2,Gurugram,0.0358118878686547,-0.051964799203537,0.1503263915436899,37.43749577103597
Linear Regression,maxabs,0.2,Gurugram,0.0183769351556029,-0.0519647992035376,0.1076857324038933,17.131436683040448
Linear Regression,robust,0.2,Gurugram,0.4201663218771327,-0.0519647992035388,0.514911088276088,inf
Linear Regression,default,0.2,Hyderabad,0.0015160037886075,0.7268863228781256,0.0332846546946319,22.717480164460927
Linear Regression,standard,0.2,Hyderabad,0.1878060715738445,0.7268863228781263,0.3704663160548114,225.74254155873825
Linear Regression,minmax,0.2,Hyderabad,0.0017043174321377,0.7268863228781258,0.0352914218175931,inf
Linear Regression,maxabs,0.2,Hyderabad,0.0015160037886075,0.7268863228781256,0.0332846546946319,22.717480164460927
Linear Regression,robust,0.2,Hyderabad,0.1182324425454736,0.7268863228781256,0.2939424050954514,inf
Linear Regression,default,0.2,Kolkata,0.013582328567939,0.7513965755242012,0.0859132743836339,20.02926158999916
Linear Regression,standard,0.2,Kolkata,0.2740798916596947,0.751396575524202,0.3859328462063211,804.1006756195306
Linear Regression,minmax,0.2,Kolkata,0.0163779302248935,0.7513965755242029,0.0943414753516484,inf
Linear Regression,maxabs,0.2,Kolkata,0.013582328567939,0.7513965755242012,0.0859132743836339,20.02926158999916
Linear Regression,robust,0.2,Kolkata,0.1080993192238064,0.7513965755242027,0.2423732212286252,inf
Linear Regression,default,0.2,Patna,0.0031119738809055,0.7445529999784142,0.0440178840891386,15.52947843276155
Linear Regression,standard,0.2,Patna,0.1081635948076618,0.7445529999784148,0.2595085954452877,113.84053339152922
Linear Regression,minmax,0.2,Patna,0.0040007208853971,0.7445529999784142,0.0499091665556143,inf
Linear Regression,maxabs,0.2,Patna,0.0031119738809055,0.7445529999784142,0.0440178840891386,15.52947843276155
Linear Regression,robust,0.2,Patna,0.0673711558822445,0.7445529999784148,0.2048086005805517,inf
Linear Regression,default,0.2,Visakhapatnam,0.0043117416577076,0.8121070952031041,0.0469146443786817,16.40144525207386
Linear Regression,standard,0.2,Visakhapatnam,0.2129401867907173,0.8121070952031044,0.3296938743479794,711.6340359866332
Linear Regression,minmax,0.2,Visakhapatnam,0.0048738470318591,0.8121070952031042,0.0498790312487632,inf
Linear Regression,maxabs,0.2,Visakhapatnam,0.0043117416577076,0.8121070952031041,0.0469146443786817,16.40144525207386
Linear Regression,robust,0.2,Visakhapatnam,0.263550754548806,0.8121070952031042,0.3667872196878752,inf
Linear Regression,default,0.2,Amaravati,0.0065635320926706,0.7842687742387886,0.0638960500053963,25.66478442264783
Linear Regression,standard,0.2,Amaravati,0.1879969156324867,0.7842687742387885,0.341964140441657,217.95548133666605
Linear Regression,minmax,0.2,Amaravati,0.0077030341920926,0.784268774238789,0.0692207208391793,inf
Linear Regression,maxabs,0.2,Amaravati,0.0065635320926706,0.7842687742387886,0.0638960500053963,25.66478442264783
Linear Regression,robust,0.2,Amaravati,0.1535774215561405,0.7842687742387888,0.3090785674679638,inf
Linear Regression,default,0.2,Amritsar,0.0037150083759351,0.7671306519980572,0.0374560821514185,15.507536725808553
Linear Regression,standard,0.2,Amritsar,0.1364488613093641,0.7671306519980567,0.2270008106523938,120.87349185824606
Linear Regression,minmax,0.2,Amritsar,0.0044043979315547,0.7671306519980569,0.0407836156455081,inf
Linear Regression,maxabs,0.2,Amritsar,0.0037150083759351,0.7671306519980572,0.0374560821514185,15.507536725808553
Linear Regression,robust,0.2,Amritsar,0.155007299811389,0.7671306519980564,0.2419460441672717,151.9096053648169
Linear Regression,default,0.2,Chandigarh,0.0047757486134677,0.6930070535809119,0.0517085326727181,21.002477450817068
Linear Regression,standard,0.2,Chandigarh,0.1770702875186558,0.6930070535809116,0.3148577090414482,347.2050273780662
Linear Regression,minmax,0.2,Chandigarh,0.0056132464903637,0.6930070535809119,0.0560594124445327,inf
Linear Regression,maxabs,0.2,Chandigarh,0.0047757486134677,0.6930070535809119,0.0517085326727181,21.002477450817068
Linear Regression,robust,0.2,Chandigarh,0.2426248927779165,0.6930070535809119,0.3685608179863957,inf
Neural Network,default,0.2,Delhi,0.0017904404905748,0.936912457991828,0.0310286152217463,64.40615245222364
Neural Network,standard,0.2,Delhi,0.0584186043430266,0.9403557575833948,0.1817077575250339,55.32589821979151
Neural Network,minmax,0.2,Delhi,0.0021795283220542,0.9343374775897364,0.0335434714227656,13.865005693501889
Neural Network,maxabs,0.2,Delhi,0.0018298561601892,0.9355236166839695,0.0311414002958932,9.10943985135233
Neural Network,robust,0.2,Delhi,0.023313106706574,0.9396498064287448,0.1135648757403269,94.87234579636944
Neural Network,default,0.2,Gurugram,0.0051670715277811,0.5638424067065081,0.0610819440812636,19.37740630169965
Neural Network,standard,0.2,Gurugram,0.266500845523495,0.5547652930965865,0.440368282976002,115.39278290169366
Neural Network,minmax,0.2,Gurugram,0.0100022617712909,0.566745534647938,0.0834577605461647,21.534727249405808
Neural Network,maxabs,0.2,Gurugram,0.0050135953268155,0.5767974838872805,0.0603700098701012,10.19677751458597
Neural Network,robust,0.2,Gurugram,0.1231465915635476,0.5453541782909634,0.2990369720239963,113.89009536137662
Neural Network,default,0.2,Hyderabad,0.0009751489286412,0.8544581763264937,0.0216682928742146,48.215271928681446
Neural Network,standard,0.2,Hyderabad,0.1052794690951574,0.8731614674400519,0.2228176050167908,188.0754856867968
Neural Network,minmax,0.2,Hyderabad,0.0009308171953523,0.8764248738112351,0.0206625368188307,15.645384769114266
Neural Network,maxabs,0.2,Hyderabad,0.0008371190755951,0.8750592516532185,0.0202666420871908,10.193096714815724
Neural Network,robust,0.2,Hyderabad,0.0664990520446604,0.8727388205852602,0.1763510051662776,inf
Neural Network,default,0.2,Kolkata,0.0021082370695339,0.9574122599784942,0.0296819065661309,100.725373560173
Neural Network,standard,0.2,Kolkata,0.0581289671766366,0.9418091349005596,0.1462515361918696,5777.222447152206
Neural Network,minmax,0.2,Kolkata,0.0025304003367898,0.9576093963294228,0.031335248018319,41.13549520252037
Neural Network,maxabs,0.2,Kolkata,0.0021188373070908,0.9571981283859132,0.0282923901325261,10.930764746660774
Neural Network,robust,0.2,Kolkata,0.019606411975561,0.9502360842556036,0.0862560403853688,inf
Neural Network,default,0.2,Patna,0.0034150613498762,0.8820372759492255,0.047149606543894,58.33216496874432
Neural Network,standard,0.2,Patna,0.0874097491805813,0.913131766974148,0.2415363119562152,84.64203911642979
Neural Network,minmax,0.2,Patna,0.0030757817193558,0.9173582539769431,0.0448793001613818,25.092351607414223
Neural Network,maxabs,0.2,Patna,0.002570505431881,0.9112098460711454,0.0412493042669538,11.591459808427338
Neural Network,robust,0.2,Patna,0.0684087113782376,0.8908510311288567,0.2066274364227093,inf
Neural Network,default,0.2,Visakhapatnam,0.0024234438254382,0.8735392004633193,0.032268105698571,51.20774504783461
Neural Network,standard,0.2,Visakhapatnam,0.1185474651805538,0.8747405965147628,0.2318275366217762,789.9083698591863
Neural Network,minmax,0.2,Visakhapatnam,0.0025654095341133,0.8815703331538591,0.0339869210698435,15.435848454016924
Neural Network,maxabs,0.2,Visakhapatnam,0.0021908358217618,0.8856772140680808,0.0318099141986324,10.926679753282038
Neural Network,robust,0.2,Visakhapatnam,0.1408788332277333,0.8797300363191141,0.2587473733247112,inf
Neural Network,default,0.2,Amaravati,0.0034188063939538,0.8981620618691594,0.0437359137236484,66.13993495743512
Neural Network,standard,0.2,Amaravati,0.0994752939268529,0.8965484003847994,0.2332914259395298,152.15518305531776
Neural Network,minmax,0.2,Amaravati,0.0041530798241489,0.8945901594819959,0.048874067254046,30.36631811783548
Neural Network,maxabs,0.2,Amaravati,0.0036630591121881,0.8908863666874047,0.046682432714181,15.891592697252737
Neural Network,robust,0.2,Amaravati,0.0798921852750339,0.8982932839232014,0.2152015110705498,inf
Neural Network,default,0.2,Amritsar,0.0023723689975111,0.9105630173748782,0.0360014346765771,72.05226565473264
Neural Network,standard,0.2,Amritsar,0.0919603842858996,0.9056100930876474,0.2046139346290164,185.365506851479
Neural Network,minmax,0.2,Amritsar,0.0027689976752104,0.9119497208405328,0.0358941877244197,34.82637357254902
Neural Network,maxabs,0.2,Amritsar,0.0021865560602409,0.9175680610504592,0.0320948357844849,12.418595782417798
Neural Network,robust,0.2,Amritsar,0.1084644950111703,0.9019990820408618,0.2213854250477271,88.65481047554763
Neural Network,default,0.2,Chandigarh,0.0044497855448664,0.8810761748730145,0.0437299463480933,64.31031750881674
Neural Network,standard,0.2,Chandigarh,0.1512333638426791,0.8909882863638005,0.254124883180677,432.92715008657694
Neural Network,minmax,0.2,Chandigarh,0.0050032667030319,0.8862344456341565,0.0449042858608011,20.536145218225084
Neural Network,maxabs,0.2,Chandigarh,0.0041833196112922,0.888197674946929,0.0423515934536833,13.359481672262222
Neural Network,robust,0.2,Chandigarh,0.2090944656657067,0.8900036109144662,0.2988897915844632,inf
LSTM,maxabs,0.2,Delhi,0.0025527572422191,0.910051643378856,0.0385633254911507,11.797917114433533
LSTM,standard,0.2,Delhi,0.0653680727950071,0.9332604874091434,0.1892306140717486,64.06505164567464
LSTM,minmax,0.2,Delhi,0.003007897771829,0.9093812395774008,0.0423867330386726,18.86093982527476
LSTM,maxabs,0.2,Delhi,0.0026683240091536,0.9059795598317576,0.0403671097567039,12.620116565999762
LSTM,robust,0.2,Delhi,0.0263291333842534,0.9318422758364068,0.121977207808309,83.01019679980199
LSTM,maxabs,0.2,Gurugram,0.0047574326030513,0.5984204315255703,0.0589300950941367,10.01633792829751
LSTM,standard,0.2,Gurugram,0.2669588657004975,0.5540000929755027,0.431181314322384,112.88707923909902
LSTM,minmax,0.2,Gurugram,0.0093102785760865,0.5967192362092582,0.0814305155994308,21.1486758598414
LSTM,maxabs,0.2,Gurugram,0.0047689871983967,0.5974450967599803,0.059128794628076,10.033638079532569
LSTM,robust,0.2,Gurugram,0.1210865150252035,0.5529597902585157,0.2897470371808385,110.771821589131
LSTM,maxabs,0.2,Hyderabad,0.0010549943718768,0.8425411746468452,0.0237397818503073,12.158734236605111
LSTM,standard,0.2,Hyderabad,0.1170470350744314,0.8589841467008639,0.2417399304724173,169.13325716880993
LSTM,minmax,0.2,Hyderabad,0.0012012084529496,0.8405277782861831,0.0241363518632745,19.06510040404173
LSTM,maxabs,0.2,Hyderabad,0.0010409011489247,0.8446446004002187,0.0233793636704149,11.85268198515583
LSTM,robust,0.2,Hyderabad,0.074992090256471,0.8564854451397939,0.1945013684413686,inf
LSTM,maxabs,0.2,Kolkata,0.0019420078031022,0.960770197700518,0.0278518854703649,10.129690443476846
LSTM,standard,0.2,Kolkata,0.0423524091757174,0.9576024923771392,0.1310446253066146,4984.643917002384
